# List of custom frame timings.
# Custom timings format "frame_index, duration"
# Only add one entry per line.
# Empty lines and lines starting with "#" are ignored.

5, 1
7, .5
8, .5
9, .5
10, .5
11, .5
13, 1.2
14, 1.5
15, 1.2
16, 1.5
17, 1
18, 1
19, 1
26, 1
28, 1
32, 1
33, .5
34, .5
35, .5
37, .5
38, .5
39, 1
40, .5
41, .5
42, .5
43, .5
44, .5
45, 1
48, 2
49, 1.5
50, 1.5
51, 1.5
52, 1.5
58, .5
59, .5
60, .5
61, .5
62, 1
63, 2
64, 1.5
65, 1
66, 1.5
68, 1.5
70, 1.2
71, 2
73, 1.8
78, 1.5
79, 2.5
80, 3
81, 1.5
82, 1.4
83, 2
85, 1
86, 1.2
87, 1.2
91, 1
92, 2
93, 2
95, 3
97, 2
99, 2
100, 3
101, 2
102, 2
104, 1.5
107, 1.5
111, 1.2
113, 3
114, 3
115, 2
116, 1.5
117, 1.5
118, 1.5
119, 1.5
129, 1.5
130, .5
131, .5
132, .5
133, 1
135, .5
136, .5
137, .5
143, 1
144, 1
145, 1
146, 1
147, 1.2
148, 1
153, 1.5
155, 1.2
159, 1
160, .5
161, .5
162, .5
164, 1.2
167, 2
170, 1.2
171, 1.5
172, 1.5
176, 1.5
177, 2
178, 1.5
179, .5
180, .5
181, 2
182, 1.2
185, 1
186, 1.5
187, 1.5
189, .5
190, .5
192, 1.5
193, .5
194, .5
195, .5
201, 1.2
202, 1.5
204, 2
205, 1.5
206, 1.5
207, 1.2
208, .5
209, .5
210, .5
214, 1.8
216, .5
217, .5
218, 1.2
219, .5
220, .5
221, .5
222, .5
223, 1.2
224, 1
225, 1.5
227, 1.8
228, 2
230, 1.2
231, 1.8
232, 1.8
233, .5
234, .5
235, .5
236, .5
237, 1
238, 1
239, 1.2
